epoch:1  D_loss:0.918681  G_loss:66.081345  loss_pixel:0.6475  lr:0.0000020  
epoch: 158  D_loss: 0.179432  G_loss: 3.550451  loss_pixel: 0.0307  lr: 0.0015405  
epoch: 159  D_loss: 0.210578  G_loss: 3.754432  loss_pixel: 0.0331  lr: 0.0015604  
epoch: 160  D_loss: 0.124136  G_loss: 3.654113  loss_pixel: 0.0321  lr: 0.0015804  
epoch: 161  D_loss: 0.154382  G_loss: 3.266426  loss_pixel: 0.0277  lr: 0.0016004  
epoch: 162  D_loss: 0.197707  G_loss: 3.271969  loss_pixel: 0.0287  lr: 0.0016204  
epoch: 163  D_loss: 0.107142  G_loss: 3.500758  loss_pixel: 0.0304  lr: 0.0016404  
epoch: 164  D_loss: 0.322527  G_loss: 3.212257  loss_pixel: 0.0278  lr: 0.0016603  
epoch: 165  D_loss: 0.172221  G_loss: 3.301508  loss_pixel: 0.0304  lr: 0.0016803  
epoch: 166  D_loss: 0.311648  G_loss: 3.718090  loss_pixel: 0.0280  lr: 0.0017003  
epoch: 167  D_loss: 0.221869  G_loss: 3.975790  loss_pixel: 0.0326  lr: 0.0017203  
epoch: 168  D_loss: 0.237296  G_loss: 3.819879  loss_pixel: 0.0326  lr: 0.0017403  
epoch: 169  D_loss: 0.177266  G_loss: 3.568896  loss_pixel: 0.0317  lr: 0.0017602  
epoch: 170  D_loss: 0.197612  G_loss: 3.209863  loss_pixel: 0.0274  lr: 0.0017802  
epoch: 171  D_loss: 0.126002  G_loss: 3.755435  loss_pixel: 0.0324  lr: 0.0018002  
epoch: 172  D_loss: 0.156814  G_loss: 3.571768  loss_pixel: 0.0326  lr: 0.0018202  
epoch: 173  D_loss: 0.155625  G_loss: 3.729122  loss_pixel: 0.0346  lr: 0.0018402  
epoch: 174  D_loss: 0.148752  G_loss: 3.387252  loss_pixel: 0.0302  lr: 0.0018601  
epoch: 175  D_loss: 0.091587  G_loss: 3.881647  loss_pixel: 0.0336  lr: 0.0018801  
epoch: 176  D_loss: 0.087558  G_loss: 3.620537  loss_pixel: 0.0316  lr: 0.0019001  
epoch: 177  D_loss: 0.219611  G_loss: 3.588547  loss_pixel: 0.0294  lr: 0.0019201  
epoch: 178  D_loss: 0.205003  G_loss: 3.229369  loss_pixel: 0.0290  lr: 0.0019401  
epoch: 179  D_loss: 0.277632  G_loss: 3.323962  loss_pixel: 0.0284  lr: 0.0019600  
epoch: 180  D_loss: 0.268850  G_loss: 3.471990  loss_pixel: 0.0305  lr: 0.0019800  
epoch: 181  D_loss: 0.428413  G_loss: 3.844679  loss_pixel: 0.0297  lr: 0.0020000  
epoch: 182  D_loss: 0.198398  G_loss: 3.642633  loss_pixel: 0.0344  lr: 0.0019999  
epoch: 183  D_loss: 0.224214  G_loss: 3.755185  loss_pixel: 0.0323  lr: 0.0019998  
epoch: 184  D_loss: 0.181723  G_loss: 3.605355  loss_pixel: 0.0316  lr: 0.0019997  
epoch: 185  D_loss: 0.320365  G_loss: 3.643808  loss_pixel: 0.0279  lr: 0.0019996  
epoch: 186  D_loss: 0.100307  G_loss: 3.949219  loss_pixel: 0.0321  lr: 0.0019995  
epoch: 187  D_loss: 0.228846  G_loss: 3.358546  loss_pixel: 0.0274  lr: 0.0019995  
epoch: 188  D_loss: 0.172324  G_loss: 3.148775  loss_pixel: 0.0268  lr: 0.0019994  
epoch: 189  D_loss: 0.169585  G_loss: 3.055334  loss_pixel: 0.0273  lr: 0.0019993  
epoch: 190  D_loss: 0.211604  G_loss: 3.165960  loss_pixel: 0.0285  lr: 0.0019992  
epoch: 191  D_loss: 0.114055  G_loss: 3.412952  loss_pixel: 0.0308  lr: 0.0019991  
epoch: 192  D_loss: 0.173128  G_loss: 3.342674  loss_pixel: 0.0295  lr: 0.0019990  
epoch: 193  D_loss: 0.296293  G_loss: 3.381004  loss_pixel: 0.0309  lr: 0.0019989  
epoch: 194  D_loss: 0.217583  G_loss: 3.143418  loss_pixel: 0.0293  lr: 0.0019988  
epoch: 195  D_loss: 0.356722  G_loss: 3.170288  loss_pixel: 0.0307  lr: 0.0019987  
epoch: 196  D_loss: 0.217059  G_loss: 3.409230  loss_pixel: 0.0316  lr: 0.0019986  
epoch: 197  D_loss: 0.188903  G_loss: 3.390512  loss_pixel: 0.0294  lr: 0.0019986  
epoch: 198  D_loss: 0.265815  G_loss: 3.239453  loss_pixel: 0.0297  lr: 0.0019985  
epoch: 199  D_loss: 0.271127  G_loss: 3.123327  loss_pixel: 0.0289  lr: 0.0019984  
epoch: 200  D_loss: 0.138419  G_loss: 3.568079  loss_pixel: 0.0324  lr: 0.0019983  
